object_id,source_id,raj2000,dej2000,j_m,k_m,u_psf,r_est,main_id,galsym,extragalsym,j_abs,jmk0,0ug,0uv,maxvar,colorscore
296172458,6859282948915521664,305.676124,-21.131833,10.004,9.047,13.9363,6392.11483679525,2MASS J20224225-2107546,1.0,,-4.024222843214987,0.931889599999999,1.7384257194967974,0.15453653728069625,,-4.361687159306802
482188567,6437030012377624192,275.116154,-66.078576,8.145,7.013,12.3799,5544.241237341171,V* AR Pav,1.0,,-5.574210593739141,1.0945408999999997,0.6623812579889282,-0.0025932042788179826,,-7.497426958592493
73523547,3042850467974826240,119.52451,-7.732106,10.698,9.647,14.675,8407.08929958064,EM* StHA   63,1.0,,-3.9252283024534464,0.9899999000000002,0.7041566722424276,-0.07291031683997957,3.907943477357315,-7.7011917439508615
189541648,4120502906945950592,267.712979,-17.799286,9.82,8.448,17.555999999999994,6980.75510861279,UCAC2  25142480,1.0,,-4.399512014094687,1.0704273999999998,2.389308672119588,-0.43781099999999995,,-3.5945674090477677
204141186,6725263992006252160,272.28974300000004,-41.224064,9.191,7.962999999999999,15.2696,6502.94074667294,EM* AS  276,1.0,,-4.874548984163578,1.1727819000000017,1.3023945525953098,-0.3841862666048458,,-6.760807502153014
291173094,4261256033300607360,287.481086,-2.793709,8.062999999999999,6.45,14.2016,6177.540890704438,EM* AS  341,1.0,,-5.891078143942844,1.3526860999999988,0.5780248141902986,-0.23532800000000087,3.5847126938823433,-8.441172063016431
292623303,4208374987182751104,292.173496,-6.064382,9.307,7.9289999999999985,17.4193,4850.80048849963,EM* StHA  164,1.0,,-4.1220670631679015,1.202929300000001,2.7620171068457,-0.7266677150357523,1.203868931027795,-3.2176985613859816
395511623,5799841957262188928,221.21388,-69.392931,10.883,9.742,14.6396,9866.63261905006,V* AE Cir,1.0,,-4.087844788427366,1.0303159999999982,0.4890868596970756,-0.060942000000000725,,-7.5383346047255415
146068209,6039227323926220544,244.888976,-28.127745,8.267999999999999,6.984,16.2318,2292.90339605889,GSC 06806-00016,1.0,,-3.5339287877309196,1.0476400999999989,2.980083493907416,-0.4152225282740297,1.6882214472225656,-1.374643734739621
241955615,4077352126434336640,277.68037000000004,-24.019117,9.826,8.257,16.7082,4356.5723153223,V* V3890 Sgr,1.0,,-3.369724636708465,1.3385047000000008,1.1145079999999972,0.28824160862245857,,-7.2554060842781105
484015264,6426947387670296192,295.605732,-68.12648,6.681,5.4460000000000015,13.613,3711.80355106351,V* V399 Pav,1.0,,-6.166924914583844,1.1941129999999995,1.7428881822235365,-0.10316428025778394,,-4.668355127775124
