object_id,source_id,raj2000,dej2000,j_m,k_m,u_psf,r_est,main_id,galsym,extragalsym,j_abs,jmk0,0ug,0uv,maxvar,colorscore
116530425,6015507731384081664,236.961494,-32.733137,8.404,7.12,14.0291,4350.04527704264,WRAY 15-1356,,,-4.788468886459901,1.2256843999999998,0.7255534778846476,-0.2015377166399468,,-7.969128751431263
139325510,4036657139505389056,267.69807000000003,-39.021593,9.244,7.995,15.2168,8019.37346731485,WRAY 15-1790,,,-5.2767021965848855,1.0872278999999996,1.8142856704732653,-0.38071312986472905,4.910430119116593,-5.0334751571952445
146210248,6043925532812301184,246.9573,-29.279297,9.588,8.255,15.9332,3885.24200132465,Haro 1-10,,,-3.3590903751012013,1.1688324999999984,0.8850542767164458,-0.010507888303000125,23.098929748229562,-7.655068070725813
147403802,6032371624106460544,249.532648,-28.702103,9.791,8.505,15.0975,8820.63768923641,,,,-4.936499918235864,1.1024627999999996,0.9764224922882182,-0.08498218924937949,2.5016580819248233,-7.480585910718851
203972182,6725393223319286016,270.609461,-41.598451,9.494,8.05,14.3268,9294.67367015469,,,,-5.3471707329177605,1.3826281999999992,-0.12291677035256814,-0.3477137649652007,,-10.01241185768006
204354029,6722877025292292224,276.416657,-42.239667,7.795,6.357,15.6973,9907.53554679498,V* V589 CrA,,,-7.184828195971948,1.4028123999999995,1.0323510041523682,0.14833033757743785,,-7.347420655216384
244552792,4091702303736858240,279.394969,-20.890267,10.685,9.647,15.6834,11199.034428848601,V* V1918 Sgr,,,-4.560902898931229,0.8744107000000003,1.0831879506682007,-0.0591193063266783,,-7.105420703252026
258351133,4082054707613486336,286.496336,-21.156941,8.347000000000001,7.134,14.3724,7467.55832452432,CSS 1102,,,-6.0188931164880595,1.1482003000000018,1.3358160430649915,-0.2131403137292702,10.93153720461081,-6.265106944434625
310883323,6000088833160915840,230.242853,-45.328988,6.5470000000000015,5.2189999999999985,14.7884,879.421526802393,IRAS 15175-4508,,,-3.1739854611663763,1.2244609000000013,1.5370154324938519,0.024404478998648213,34.141869682250345,-5.339874555425576
328041214,5871262663548636288,212.195663,-57.076828000000006,9.11,7.676,15.273,5460.23594299019,WRAY 16-145,,,-4.5760570473375655,1.105623699999999,0.7410345648442401,-0.2048736879160669,,-7.9622336849536595
367245020,5917238398632196736,256.79398100000003,-56.88819399999999,9.18,7.934,17.0846,5066.5308562902,,,,-4.343553459723322,1.1780614999999997,2.5060781747098493,0.19318662113372967,22.867207500349895,-2.132097419197475
485038704,6347427816233092224,299.951473,-82.87706899999998,8.835,7.695,13.0156,7066.5660950584,Hen 3-1768,1.0,,-5.411042126796398,1.043771000000001,1.1870832792420305,-0.7402213057766289,,-8.02928259945373
