object_id,source_id,raj2000,dej2000,j_m,k_m,u_psf,r_est,main_id,galsym,extragalsym,j_abs,jmk0,0ug,0uv,maxvar,colorscore
188203409,4123378576521938816,264.247524,-18.107402,8.921,7.747999999999998,15.374,4876.33439110957,SS 316,,,-4.519467396989974,0.9974337,1.3758767574119357,0.18809229457364388,,-5.804977489624002
209418421,6729888473503087616,278.706656,-38.415803,7.574,6.357,14.1174,1936.40999814221,,,,-3.860986581698168,1.1704548999999995,1.0655609664956391,-0.09695235667150184,,-7.185369818840783
238889424,4077376285676058496,276.69527400000004,-24.263105,5.938,4.396,15.6311,3238.78901609941,IRAS 18237-2417,,,-6.6139132887878045,1.3340545,1.4636636458857035,-0.17251105512562886,,-5.710734326436667
243161560,4075332117418593536,284.016729,-23.453869,9.224,7.994,15.4976,5821.959435889829,,,,-4.601345875978937,1.1544210000000004,2.312085770629274,0.6380596549770491,10.65404609760559,-3.982662513523726
261318067,4088284368706750592,286.215868,-17.477760999999994,8.19,6.811,17.3189,8710.18815053973,,,,-6.510137681960603,1.2990018999999997,1.9558528028144304,0.5510055454930375,20.001514479964065,-3.7989713822675135
287706848,4206122019168592896,286.45015,-6.097117,8.292,6.9,16.8614,3838.6636343569203,,,,-4.628900292102051,1.1426718999999994,1.670142568324145,-0.03019093434435319,21.707986804674768,-4.86850075552034
318348044,5888247884803931136,227.350028,-53.057785,6.72,5.183,15.3561,7433.973762309109,IRAS 15057-5252,,,-7.636105119751937,1.2379053999999998,1.821705198067977,-0.17217234428792746,,-4.4967345679049995
334957070,6062032741323638016,201.423902,-58.918296,6.4529999999999985,4.92,15.8267,584.771948085131,IRAS 13224-5839,,,-2.3819326552138094,1.2473691999999996,1.1568766978378964,-0.17117520275021958,,-6.937793608919561
408599880,5774523953984244480,260.462518,-81.01013,9.581,8.552999999999999,15.5895,9134.6144349459,V* KU Aps,,,-5.2224511041957635,0.9418482000000004,2.826194050638791,0.15652768185018393,28.49897457920387,-1.285696354628989
401946723,5796098502439425152,231.738928,-70.052963,6.67,5.417000000000002,12.6429,1928.7828680978305,IRAS 15220-6952,,,-4.756416699405003,1.2096762999999993,1.0347577523019904,0.12146083838778615,,-7.305734460313
